locale|uk_UA
DIALOG_SALVAGE_BYE_BEGINNER_4|Гаразд, рятувальники, це все на сьогодні. Лише дружнє нагадування: це приватні дані. Будь-хто, кого спіймають на зливі інформації за межі гільдії, назавжди втратить доступ — довічно. Не ризикуйте своїм засобом до існування заради швидкої копійки, особливо враховуючи, що більшість з вас вже достатньо займалися порятунком, щоб знати, наскільки це вигідно.

DIALOG_SALVAGE_BYE_BEGINNER_5|На цьому сьогоднішній звіт завершено. Якщо ви це чуєте, значить, ви на хорошому рахунку в SRO. Вирішили поділитися цим за межами гільдії? Це ненадовго. Дійте швидко, працюйте чисто, і до зустрічі в наступному ефірі. Це може бути чудовим шансом для деяких із вас дійсно проявити себе.

DIALOG_SALVAGE_START_EXPERIENCED_1|Вітаю, космічні далекобійники! Час для вашої щоденної дози огляду уламків прямо від Гільдії Брухтарів! Сподіваюся, ваші маніпулятори гострі, а двигуни гарячі, бо у нас є свіжі корпуси, що дрейфують у темряві! Сьогодні на зв'язку є кілька вельми досвідчених людей, тож очікуйте на серйозну конкуренцію.

DIALOG_SALVAGE_START_EXPERIENCED_2|Гаразд, брухтарі та вантажники, час для вашого щоденного зведення з пошуку та порятунку! У нас дрейфують уламки, корпуси чекають на відновлення, енцеладолари готові до переказу, а на лінії є кілька дуже уважних екіпажів. Давайте подивимося, що там сьогодні!

DIALOG_SALVAGE_START_EXPERIENCED_3|Гаразд, майстри-брухтарі, слухайте сюди! Космос ніколи не буває порожнім, і сьогоднішня порція уламків виглядає справді прибутково. Незалежно від того, працюєте ви соло чи з екіпажем, здобичі вистачить на всіх — якщо встигнете першими. А якщо ні... що ж, ніяких енцеладоларів для вас! Сьогодні на лінії присутні досвідчені екіпажі, тож за цей брухт доведеться поборотися.

DIALOG_SALVAGE_START_EXPERIENCED_4|Доброго ранку, оперативники SRO! Або вечора. Або що там показує ваш судновий годинник. З часом тут справжня плутанина, але уламки вічні! Давайте пройдемося по сьогоднішніх повідомленнях, поки якісь вільні стрільці не перехопили вашу здобич і не поклали ваші енцеладолари до власної кишені. Там вистачає досвідчених брухтарів, тож вам також доведеться випередити інші екіпажі.

DIALOG_SALVAGE_START_EXPERIENCED_5|Новий день, новий корпус чекає на другий шанс. Або на повторну переробку. У будь-якому випадку, у нас є координати, у вас є інструменти, і тут можна заробити непогані енцеладолари. Сьогодні на зв'язку є досвідчені екіпажі, тож давайте до роботи!

DIALOG_SALVAGE_BYE_EXPERIENCED_1|Це ваш звіт про уламки на сьогодні. Якщо ви активний член SRO — чудово, у вас є перевага. Якщо ні? Ви взагалі не повинні цього чути. Витік даних гільдії карається, аж до довічного виключення. Працюйте чисто, тримайте язика за зубами і продовжуйте збирати брухт. Як я вже казав, сьогодні з нами є досвідчені екіпажі, тому розраховуйте на конкуренцію.

DIALOG_SALVAGE_BYE_EXPERIENCED_2|Це все від SRO на цей час! Ці звіти призначені виключно для членів організації з оплаченою підпискою — і ми відстежуємо витоки. Хочете зберегти статус? Тримайте координати в таємниці. Літайте безпечно та дайте нашим досвідченим екіпажам гідну конкуренцію!

DIALOG_SALVAGE_BYE_EXPERIENCED_3|На сьогодні це весь перелік брухту. Нагадую: це ексклюзивна інформація гільдії. Несанкціоноване розповсюдження призводить до санкцій, штрафів та можливого чорного списку. Якщо ви хочете залишитися в бізнесі та заробляти гроші на рівні наших досвідчених екіпажів, тримайте язика за зубами. Літайте безпечно і великих вам прибутків!

DIALOG_SALVAGE_BYE_EXPERIENCED_4|Гаразд, рятувальники, це все на сьогодні. Лише дружнє нагадування: це приватні дані. Будь-хто, кого спіймають на зливі інформації за межі гільдії, назавжди втратить доступ — довічно. Не ризикуйте своїм засобом до існування заради швидкої копійки. Там достатньо першокласних екіпажів, які з радістю забрали б цей брухт без зайвої конкуренції.

DIALOG_SALVAGE_BYE_EXPERIENCED_5|На цьому сьогоднішній звіт завершено. Якщо ви це чуєте, значить, ви на хорошому рахунку в SRO. Вирішили поділитися цим за межами гільдії? Це ненадовго. Дійте швидко, працюйте чисто, будьте як наші досвідчені екіпажі, і до зустрічі в наступному ефірі.

DIALOG_SALVAGE_START_MASTER_1|Вітаю, космічні далекобійники! Час для вашої щоденної дози огляду уламків прямо від Гільдії Брухтарів! Сподіваюся, ваші маніпулятори гострі, а двигуни гарячі, бо сьогодні у кільцях працюють справжні майстри своєї справи!

DIALOG_SALVAGE_START_MASTER_2|Гаразд, брухтарі та вантажники, час для вашого щоденного зведення з пошуку та порятунку! У нас дрейфують уламки, корпуси чекають на відновлення, а енцеладолари вже чекають, щоб їх забрали. Майстри сьогодні не сплять, тож щастить там!

DIALOG_SALVAGE_START_MASTER_3|Гаразд, майстри-брухтарі, слухайте сюди! Космос ніколи не буває порожнім, і сьогоднішня порція уламків виглядає справді прибутково. Незалежно від того, працюєте ви соло чи з екіпажем, здобичі вистачить на всіх — якщо встигнете першими. А якщо вам не вдасться обійти майстрів на полі бою... що ж, ніяких енцеладоларів для вас!

DIALOG_SALVAGE_START_MASTER_4|Доброго ранку, оперативники SRO! Або вечора. Або що там показує ваш судновий годинник. З часом тут справжня плутанина, але уламки вічні! Давайте пройдемося по сьогоднішніх повідомленнях, поки хтось із майстрів-рятувальників не перехопив вашу здобич і не пішов з вашими грошима.

DIALOG_SALVAGE_START_MASTER_5|Новий день, новий корпус чекає на другий шанс. Або на повторну переробку. У будь-якому випадку, у нас є координати, у вас є інструменти, і тут можна заробити непогані енцеладолари. Стережіться майстрів на роботі і починаймо розбір!

DIALOG_SALVAGE_BYE_MASTER_1|Це ваш звіт про уламки на сьогодні. Якщо ви активний член SRO — чудово, у вас є перевага. Якщо ні? Ви взагалі не повинні цього чути. Витік даних гільдії карається, аж до довічного виключення. Працюйте чисто, тримайте язика за зубами і продовжуйте збирати брухт. Сьогодні працюють деякі з наших найкращих екіпажів, тому дійте якомога швидше!

DIALOG_SALVAGE_BYE_MASTER_2|Це все від SRO на цей час! Ці звіти призначені виключно для членів організації з оплаченою підпискою — і ми відстежуємо витоки. Хочете зберегти статус? Тримайте координати в таємниці. Літайте безпечно та дійте блискавично!

DIALOG_SALVAGE_BYE_MASTER_3|На сьогодні це весь перелік брухту. Нагадую: це ексклюзивна інформація гільдії. Несанкціоноване розповсюдження призводить до санкцій, штрафів та можливого чорного списку. Якщо хочете залишитися у справі, тримайте язика за зубами. Топові гравці постійно під наглядом, тож це ваш шанс підзаробити. Літайте безпечно і великих вам прибутків!

DIALOG_SALVAGE_BYE_MASTER_4|Гаразд, рятувальники, це все на сьогодні. Лише дружнє нагадування: це приватні дані. Будь-хто, кого спіймають на зливі інформації за межі гільдії, назавжди втратить доступ — довічно. Не ризикуйте своїм засобом до існування заради швидкої копійки. Там достатньо наших кращих екіпажів, які з радістю розберуть це і без вашої допомоги.

DIALOG_SALVAGE_BYE_MASTER_5|На цьому сьогоднішній звіт завершено. Якщо ви це чуєте, значить, ви на хорошому рахунку в SRO. Вирішили поділитися цим за межами гільдії? Це ненадовго. Наші найкращі клієнти не сплять, тому дійте швидко, працюйте чисто, і до зустрічі в наступному ефірі.
