locale|uk_UA
VP_TURRET_OVERRIDE_MODE_DESC|Режим роботи, який використовують усі турелі, коли ввімкнено «Перевизначити поведінку автовідключення турелі».

VP_TURRET_OVERRIDE_NOFIRE|Потребує вводу користувача

VP_TURRET_OVERRIDE_FIRE|Автоматичний вогонь

VP_DISABLE_MAINTENANCE_SANBUS|Вимикати SANBUS на ремонтних дронах

VP_DISABLE_MAINTENANCE_SANBUS_DESC|Запобігає блокуванню ремонтних дронів від роботи над кораблем, коли інша система вже націлена на нього.

VP_AUTOREPAIRS_FIX_TO_100_PERCENT|Відремонтувати все до 100% (економно)

VP_AUTOREPAIRS_FIX_TO_100_PERCENT_FIX|Відремонтувати все до 100% (тільки лагодження)

VP_AUTOREPAIRS_FIX_TO_100_PERCENT_REPLACE|Відремонтувати все до 100% (тільки заміна)

VP_AUTOREPAIRS_FIX_TO_100_PERCENT_TOOLTIP|Ремонтує все на кораблі до 100% (або якомога ближче) максимально економно. \nУВАГА: ігнорує встановлені обмеження вартості та може спустошити ваш рахунок.

VP_AUTOREPAIRS_FIX_TO_100_PERCENT_FIX_TOOLTIP|Лагодить все на кораблі до 100% (або якомога ближче). \nУВАГА: ігнорує встановлені обмеження вартості та може спустошити ваш рахунок.

VP_AUTOREPAIRS_FIX_TO_100_PERCENT_REPLACE_TOOLTIP|Замінює все на кораблі. \nУВАГА: ігнорує встановлені обмеження вартості та може спустошити ваш рахунок.

VP_FIX_ACTION|ВИПРАВИТИ

VP_FIX_ACTION_TOOLTIP|Виконати цю операцію для ремонту

VP_AUTOREPAIRS_MANUAL_START|Ремонт за поточними налаштуваннями

VP_AUTOREPAIRS_MANUAL_START_TOOLTIP|Ремонтує обладнання на основі вищевказаних параметрів

VP_AUTOREPAIRS_FIX_TO_CURRENT|Ремонт за поточними налаштуваннями (економно)

VP_AUTOREPAIRS_FIX_TO_CURRENT_TOOLTIP|Ремонтує обладнання на основі поточних грошових та цільових налаштувань максимально економно.

VP_AUTOREPAIRS_FIX_TO_CURRENT_REPAIR|Ремонт за поточними налаштуваннями (тільки лагодження)

VP_AUTOREPAIRS_FIX_TO_CURRENT_REPAIR_TOOLTIP|Ремонтує обладнання на основі поточних грошових та цільових налаштувань, використовуючи лише лагодження.

VP_AUTOREPAIRS_FIX_TO_CURRENT_REPLACE|Ремонт за поточними налаштуваннями (тільки заміна)

VP_AUTOREPAIRS_FIX_TO_CURRENT_REPLACE_TOOLTIP|Замінює обладнання на основі поточних грошових та цільових налаштувань.

VP_AUTOREPAIRS_MANUAL_MAX_PROFIT|Ремонт за поточними налаштуваннями (макс. прибуток)

VP_AUTOREPAIRS_MANUAL_MAX_PROFIT_TOOLTIP|Ремонтує обладнання на основі поточних грошових та цільових налаштувань для максимального прибутку.

VP_HIDE_CREW_SUITS|Приховати скафандри екіпажу

VP_HIDE_CREW_SUITS_DESC|Якщо портрети екіпажу видимі, їхні скафандри EVA будуть зняті.

VP_ENABLE_LEADERBOARDS|Увімкнути таблиці лідерів Steam

VP_ENABLE_LEADERBOARDS_DESC|Дозволяє отримувати досягнення в таблицях лідерів з увімкненими модами.\n\nПотребує увімкнення опції "Увімкнути досягнення".

VP_TEMPERATURE_BASED_THRUST|Модифікатор тяги залежно від температури

VP_TEMPERATURE_BASED_THRUST_DESC|Двигуни будуть лінійно коригувати свою тягу залежно від поточної температури відносно цільової температури. Теплові вимоги будуть масштабуватися, якщо не ввімкнено нівелювання теплових змін.

VP_TEMPERATURE_BASED_THRUST_NULLIFY_THERMAL|Нівелювати теплові зміни

VP_TEMPERATURE_BASED_THRUST_NULLIFY_THERMAL_DESC|Чи слід ігнорувати зміни вимог до тепла.

VP_TEMPERATURE_BASED_THRUST_MULTI|Відсоток множника тяги залежно від температури

VP_TEMPERATURE_BASED_THRUST_MULTI_DESC|Величина, на яку змінюється тяга
